2019-04-10 04:47:09.665 WARN  [Refresh Thread: Equinox Container: d08f5495-d595-4ef3-a89a-42ebce63e974][BaseDB:487] Table 'cf_user_otp_details' already exists: create table cf_user_otp_details (_uuid_ varchar(75) null,_USER_OTP_ID bigint not null primary key,_MOBILE_NO bigint,_MAIL varchar(75) null,_OTP integer,_OTP_DEVICE integer,_OTP_VERIFICATION_STATUS integer,_CREATION_DATE_TIME datetime(6) null_) engine InnoDB;_ [Sanitized]
2019-04-10 04:47:09.665 INFO  [Refresh Thread: Equinox Container: d08f5495-d595-4ef3-a89a-42ebce63e974][ServiceComponentLocalServiceImpl:431] No optional file META-INF/portlet-model-hints-ext.xml found
2019-04-10 04:47:09.708 INFO  [Refresh Thread: Equinox Container: d08f5495-d595-4ef3-a89a-42ebce63e974][Table:168] Starting backup of cf_project_fund_details to C:\LR7\liferay-ce-portal-7.1.1-ga2\tomcat-9.0.10\temp\temp-db-cf_project_fund_details-91869921870716315.tmp
2019-04-10 04:47:09.722 INFO  [Refresh Thread: Equinox Container: d08f5495-d595-4ef3-a89a-42ebce63e974][Table:204] Finished backup of cf_project_fund_details to C:\LR7\liferay-ce-portal-7.1.1-ga2\tomcat-9.0.10\temp\temp-db-cf_project_fund_details-91869921870716315.tmp in 14 ms
2019-04-10 04:47:10.869 INFO  [Refresh Thread: Equinox Container: d08f5495-d595-4ef3-a89a-42ebce63e974][ServiceComponentLocalServiceImpl:652] Upgrading database with indexes.sql
2019-04-10 04:47:34.179 INFO  [fileinstall-C:/LR7/liferay-ce-portal-7.1.1-ga2/osgi/modules][BundleStartStopLogger:42] STOPPED com.crowd.funding.module.controller_1.0.0 [5881]
2019-04-10 04:48:04.723 ERROR [fileinstall-C:/LR7/liferay-ce-portal-7.1.1-ga2/osgi/modules][PortletImpl:2920] Unable to link role for portlet [MyCampaigns] with role-name [cf_PROJECT_OWNER] because role-link is null
2019-04-10 04:48:04.758 INFO  [fileinstall-C:/LR7/liferay-ce-portal-7.1.1-ga2/osgi/modules][BundleStartStopLogger:39] STARTED com.crowd.funding.module.controller_1.0.0 [6763]
2019-04-10 04:48:49.922 INFO  [fileinstall-C:/LR7/liferay-ce-portal-7.1.1-ga2/osgi/modules][BundleStartStopLogger:42] STOPPED com.crowd.funding.module.controller_1.0.0 [6763]
2019-04-10 04:48:50.238 ERROR [Refresh Thread: Equinox Container: d08f5495-d595-4ef3-a89a-42ebce63e974][PortletImpl:2920] Unable to link role for portlet [MyCampaigns] with role-name [cf_PROJECT_OWNER] because role-link is null
2019-04-10 04:48:50.270 INFO  [Refresh Thread: Equinox Container: d08f5495-d595-4ef3-a89a-42ebce63e974][BundleStartStopLogger:39] STARTED com.crowd.funding.module.controller_1.0.0 [6763]
2019-04-10 04:49:25.372 INFO  [fileinstall-C:/LR7/liferay-ce-portal-7.1.1-ga2/osgi/modules][BundleStartStopLogger:42] STOPPED com.crowd.funding.dynamic.fees.controller_1.0.0 [5880]
2019-04-10 04:49:26.157 INFO  [Refresh Thread: Equinox Container: d08f5495-d595-4ef3-a89a-42ebce63e974][BundleStartStopLogger:39] STARTED com.crowd.funding.dynamic.fees.controller_1.0.0 [5880]
2019-04-10 05:34:49.345 INFO  [fileinstall-C:/LR7/liferay-ce-portal-7.1.1-ga2/osgi/modules][BundleStartStopLogger:42] STOPPED com.crowd.funding.module.controller_1.0.0 [6763]
2019-04-10 05:34:49.773 ERROR [Refresh Thread: Equinox Container: d08f5495-d595-4ef3-a89a-42ebce63e974][PortletImpl:2920] Unable to link role for portlet [MyCampaigns] with role-name [cf_PROJECT_OWNER] because role-link is null
2019-04-10 05:34:49.817 INFO  [Refresh Thread: Equinox Container: d08f5495-d595-4ef3-a89a-42ebce63e974][BundleStartStopLogger:39] STARTED com.crowd.funding.module.controller_1.0.0 [6763]
2019-04-10 05:46:25.195 INFO  [fileinstall-C:/LR7/liferay-ce-portal-7.1.1-ga2/osgi/modules][BundleStartStopLogger:42] STOPPED com.crowd.funding.module.controller_1.0.0 [6763]
2019-04-10 05:46:25.555 ERROR [Refresh Thread: Equinox Container: d08f5495-d595-4ef3-a89a-42ebce63e974][PortletImpl:2920] Unable to link role for portlet [MyCampaigns] with role-name [cf_PROJECT_OWNER] because role-link is null
2019-04-10 05:46:25.592 INFO  [Refresh Thread: Equinox Container: d08f5495-d595-4ef3-a89a-42ebce63e974][BundleStartStopLogger:39] STARTED com.crowd.funding.module.controller_1.0.0 [6763]
2019-04-10 10:56:36.104 WARN  [HikariPool-1 housekeeper][HikariPool:686] HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=4h24m26s652ms18µs773ns).
2019-04-10 10:56:39.634 WARN  [HikariPool-2 housekeeper][HikariPool:686] HikariPool-2 - Thread starvation or clock leap detected (housekeeper delta=4h24m26s651ms962µs500ns).
